Inselberg;Pool;Alpha;Biomass;Depth;Gamma;PC1;PC2;ASE;GSE
KOR;Kor5;6;0.783754151;27.5;23.368;-0.011807106;-0.093748636;0.506;6.991
KOR;Kor6;3;0.010576698;37;23.368;-0.011807106;-0.093748636;0.351;6.991
KOR;Kor7;4;0.364934916;31;23.368;-0.011807106;-0.093748636;0.482;6.991
KOR;Kor8;4;4.469711586;31;23.368;-0.011807106;-0.093748636;0.342;6.991
KOR;Kor9;5.5;9.868287023;17;23.368;-0.011807106;-0.093748636;1.322;6.991
KOR;Kor10;5.5;0.400453042;27;23.368;-0.011807106;-0.093748636;1.316;6.991
KOR;Kor11;8;0.127534591;25.5;23.368;-0.011807106;-0.093748636;0.37;6.991
KOR;Kor12;7.99;0.08404533;34;23.368;-0.011807106;-0.093748636;2.23;6.991
KOR;Kor14;7;33.37792949;32;23.368;-0.011807106;-0.093748636;0.53;6.991
KOR;Kor15;5;13.67395572;10;23.368;-0.011807106;-0.093748636;0.482;6.991
KOR;Kor16;3;0.144562235;23;23.368;-0.011807106;-0.093748636;0.342;6.991
KOR;Kor17;3;9.174259359;23;23.368;-0.011807106;-0.093748636;0;6.991
KOR;Kor18;3;3.188204116;24;23.368;-0.011807106;-0.093748636;0;6.991
KOR;Kor19;3.5;13.70212199;4.5;23.368;-0.011807106;-0.093748636;1.321;6.991
KOR;Kor20;5;10.91272007;21;23.368;-0.011807106;-0.093748636;0.217;6.991
KOR;Kor21;4;0.290963857;28;23.368;-0.011807106;-0.093748636;0;6.991
KOR;Kor22;8;0.199201972;37;23.368;-0.011807106;-0.093748636;0.413;6.991
KOR;Kor23;9.99;1.323589903;21;23.368;-0.011807106;-0.093748636;3.734;6.991
KOR;Kor24;15.99;1.694276634;18;23.368;-0.011807106;-0.093748636;7.134;6.991
KOR;Kor25;4;6.709096879;22;23.368;-0.011807106;-0.093748636;0.002;6.991
KOR;Kor26;5;9.341334025;25.7;23.368;-0.011807106;-0.093748636;0.346;6.991
KOR;Kor27;6;0.055153069;34;23.368;-0.011807106;-0.093748636;0.537;6.991
KOR;Kor28;8;0.202274342;38;23.368;-0.011807106;-0.093748636;0.608;6.991
KOR;Kor29;3.99;3.086731058;18.2;23.368;-0.011807106;-0.093748636;2.119;6.991
KOR;Kor30;4;4.599403345;18.2;23.368;-0.011807106;-0.093748636;0.157;6.991
KOR;Kor31;10.99;0.061830942;26;23.368;-0.011807106;-0.093748636;3.731;6.991
KOR;Kor32;7;1.794718248;22;23.368;-0.011807106;-0.093748636;0.234;6.991
KOR;Kor33;7;0.921121005;19;23.368;-0.011807106;-0.093748636;0.483;6.991
KOR;Kor34;7;1.251058234;16;23.368;-0.011807106;-0.093748636;0.374;6.991
