Inselberg,Pool,Alpha,ASE,Biomass,Gamma,GSE,Depth,PC1,PC2
KAM,Kam4,8,0,4.970463583865045,63.894,14.648,37,-0.48978529773419016,1.4443256295365199
KAM,Kam5,11,0.6589880196272732,2.306768328234214,63.894,14.648,78,-0.48978529773419016,1.4443256295365199
KAM,Kam6,16.498067010309278,4.220062589840787,0.40523906296028334,63.894,14.648,97,-0.48978529773419016,1.4443256295365199
KAM,Kam7,14.999860578598815,3.0393507488886953,1.1519137936987602,63.894,14.648,22,-0.48978529773419016,1.4443256295365199
KAM,Kam8,14.999826449149602,0.5944017997432117,2.33545024820325,63.894,14.648,26,-0.48978529773419016,1.4443256295365199
KAM,Kam9,7,0,132.74017134485092,63.894,14.648,21,-0.48978529773419016,1.4443256295365199
KAM,Kam10,9,0.5144149087910567,21.074314945858195,63.894,14.648,29.2,-0.48978529773419016,1.4443256295365199
KAM,Kam12,15.999655449638222,2.7296269152254586,3.707309992509861,63.894,14.648,66,-0.48978529773419016,1.4443256295365199
SWE,Swed1,5.9904761904761905,0.3486309177348727,1.6039507759230447,38.159,9.806,80,1.616112772240559,0.10388145179885902
SWE,Swed2,4,0.23868325657594183,1.7696335290480019,38.159,9.806,7.000000000000001,1.616112772240559,0.10388145179885902
SWE,Swed3,8.942857142857143,2.3919802997164625,126.03431189916759,38.159,9.806,20,1.616112772240559,0.10388145179885902
SWE,Swed4,2,0.45604802157206853,0.12815260823868962,38.159,9.806,45,1.616112772240559,0.10388145179885902
SWE,Swed5,3.984375,0.567044474542463,0.08200236751887796,38.159,9.806,30,1.616112772240559,0.10388145179885902
SWE,Swed6,4.499134948096886,1.5131526569608535,3.453195032690873,38.159,9.806,20,1.616112772240559,0.10388145179885902
SWE,Swed7,5,0.4824181513244216,2.795658022373568,38.159,9.806,40,1.616112772240559,0.10388145179885902
SWE,Swed8,13,0.46258605691962634,117.02104633613904,38.159,9.806,10,1.616112772240559,0.10388145179885902
SWE,Swed9,12.249913763366678,1.5919636564122035,68.98471480102761,38.159,9.806,10,1.616112772240559,0.10388145179885902
SWE,Swed10,16,0.3501146845883126,74.7427540998051,38.159,9.806,10,1.616112772240559,0.10388145179885902
SWE,Swed11,6,0.2876234912646613,2.8192809431047112,38.159,9.806,30,1.616112772240559,0.10388145179885902
SWE,Swed12,3,0.10000000000000002,0.960897048063797,38.159,9.806,40,1.616112772240559,0.10388145179885902
SWE,Swed13,7,0.8360549027105905,6.415626424471948,38.159,9.806,25,1.616112772240559,0.10388145179885902
SWE,Swed14,5,0.0999999999999998,23.580103480439412,38.159,9.806,15,1.616112772240559,0.10388145179885902
SWE,Swed15,4,0.4688261722621509,0.5421271158897616,38.159,9.806,15,1.616112772240559,0.10388145179885902
SWE,Swed16,11.994301994301994,2.1141018736464527,2.2315070755115776,38.159,9.806,25,1.616112772240559,0.10388145179885902
SWE,Swed17,0,0,0,38.159,9.806,15,1.616112772240559,0.10388145179885902
SWE,Swed18,6.24375,1.8971426329260026,0.14734624808312943,38.159,9.806,30,1.616112772240559,0.10388145179885902
SWE,Swed19,10,0.6263200158662117,1.635083621858437,38.159,9.806,20,1.616112772240559,0.10388145179885902
SWE,Swed20,9.496,1.988716629479455,2.539721941976076,38.159,9.806,20,1.616112772240559,0.10388145179885902
SWE,Swed21,12,0.6085318947031002,3.1452817324311444,38.159,9.806,15,1.616112772240559,0.10388145179885902
FRA,Fran1,6,0.30151134457776346,0.9223765007622821,36.665,8.633,21,1.0439039614147418,-0.3236683341876717
FRA,Fran2,8,0.5472665069553145,6.575887841560281,36.665,8.633,4,1.0439039614147418,-0.3236683341876717
FRA,Fran3,8,0.7016773152150692,41.58603110949673,36.665,8.633,17,1.0439039614147418,-0.3236683341876717
FRA,Fran4,6.497572815533981,1.5626354156961475,60.99597949547762,36.665,8.633,2.5,1.0439039614147418,-0.3236683341876717
FRA,Fran5,3,0,11.186289159073338,36.665,8.633,10,1.0439039614147418,-0.3236683341876717
FRA,Fran6,8.991071428571429,1.3214827767105404,63.22950344097708,36.665,8.633,8,1.0439039614147418,-0.3236683341876717
FRA,Fran7,4,0.49473340582283565,28.11925652858574,36.665,8.633,4,1.0439039614147418,-0.3236683341876717
FRA,Fran8,6,0.3557949524864406,7.628340358113755,36.665,8.633,11.5,1.0439039614147418,-0.3236683341876717
FRA,Fran9,7.247881355932203,1.674286922540039,22.82290694617786,36.665,8.633,11.5,1.0439039614147418,-0.3236683341876717
FRA,Fran10,17.95959595959596,8.627783702458938,2.697094357355367,36.665,8.633,7.5,1.0439039614147418,-0.3236683341876717
FRA,Fran11,6.913043478260869,1.9160907400964524,2.4527271733626925,36.665,8.633,7,1.0439039614147418,-0.3236683341876717
FRA,Fran12,3.488372093023256,1.274933255094191,3.738575676693181,36.665,8.633,2,1.0439039614147418,-0.3236683341876717
FRA,Fran13,6,0.897272003940021,34.365993695611756,36.665,8.633,14,1.0439039614147418,-0.3236683341876717
FRA,Fran14,4,0.47937248544110245,2.762465755841083,36.665,8.633,9.5,1.0439039614147418,-0.3236683341876717
FRA,Fran15,3,0,5.874539908162048,36.665,8.633,7,1.0439039614147418,-0.3236683341876717
