Inselberg;Pool;Alpha;Biomass;Depth;Gamma;PC1;PC2;ASE;GSE
KOR;Kor24;10.25;0.220086847;18;10.969;-0.011807106;-0.093748636;4.821299603;1.821
KOR;Kor25;3;2.800112773;22;10.969;-0.011807106;-0.093748636;0;1.821
KOR;Kor26;3;1.750374909;25.7;10.969;-0.011807106;-0.093748636;0.502116732;1.821
KOR;Kor27;3;0.080100295;34;10.969;-0.011807106;-0.093748636;0.171446608;1.821
KOR;Kor28;5.969;0.798987577;38;10.969;-0.011807106;-0.093748636;1.151195046;1.821
KOR;Kor29;4.482;0.608088012;18.2;10.969;-0.011807106;-0.093748636;1.160628133;1.821
KOR;Kor30;3;0.09494273;18.2;10.969;-0.011807106;-0.093748636;0.2564324;1.821
KOR;Kor31;5.487;1.607409353;26;10.969;-0.011807106;-0.093748636;1.503279476;1.821
KOR;Kor32;2;0.043344282;22;10.969;-0.011807106;-0.093748636;0;1.821
KOR;Kor33;4.49;0.240360093;19;10.969;-0.011807106;-0.093748636;1.273063141;1.821
KOR;Kor34;11.958;1.489487698;16;10.969;-0.011807106;-0.093748636;3.836628856;1.821
KOR;Kor35;3;0.592831829;18;10.969;-0.011807106;-0.093748636;0.464823199;1.821
SWA;Soz1;20.828;0.074205578;38;81.87;-0.275988133;1.027243307;9.142287473;68.004
SWA;Soz2;9.964;0.010463197;15;81.87;-0.275988133;1.027243307;1.682833893;68.004
SWA;Soz3;6;0.01787272;7;81.87;-0.275988133;1.027243307;0.660593457;68.004
SWA;Soz4;6;0.25306917;3.7;81.87;-0.275988133;1.027243307;0.626526057;68.004
SWA;Soz5;11.205;0.017759964;29;81.87;-0.275988133;1.027243307;5.009914416;68.004
SWA;Soz6;8.993;0.044750966;13;81.87;-0.275988133;1.027243307;2.046430259;68.004
SWA;Soz7;7;0.043538941;7;81.87;-0.275988133;1.027243307;0.742641902;68.004
SWA;Soz8;7;1.078434578;2.2;81.87;-0.275988133;1.027243307;0.505379884;68.004
SWA;Soz9;12.446;0.081839577;26;81.87;-0.275988133;1.027243307;5.606669737;68.004
SWA;Soz10;6.496;0.019650251;8;81.87;-0.275988133;1.027243307;1.777863878;68.004
SWA;Soz11;22.39;0.902624578;26;81.87;-0.275988133;1.027243307;9.326964699;68.004
SWA;Soz12;4;0.00804834;12;81.87;-0.275988133;1.027243307;0.337622782;68.004
SWA;Soz13;9.971;0.086383107;21;81.87;-0.275988133;1.027243307;2.663879182;68.004
SWA;Soz14;6.979;0.968821972;7;81.87;-0.275988133;1.027243307;1.183340555;68.004
SWA;Soz16;5;4.732005771;8;81.87;-0.275988133;1.027243307;0.337997669;68.004
SWA;Soz17;4;0.804980887;13;81.87;-0.275988133;1.027243307;0.492365964;68.004
SWA;Soz18;5.958;0.131072866;9;81.87;-0.275988133;1.027243307;0.989673766;68.004
SWA;Soz19;6;0.155271654;11;81.87;-0.275988133;1.027243307;0.621681264;68.004
SWA;Soz20;4;0.792027878;9;81.87;-0.275988133;1.027243307;0.358870281;68.004
SWA;Soz21;5;1.767995078;13;81.87;-0.275988133;1.027243307;0.453011414;68.004
SWA;Soz22;6;0.232814306;14;81.87;-0.275988133;1.027243307;0.682693156;68.004
SWA;Soz23;5.498;0.218689469;8;81.87;-0.275988133;1.027243307;1.273921513;68.004
SWA;Soz24;6;6.206534892;6;81.87;-0.275988133;1.027243307;0;68.004
NWA;Noz1;11.986;1.198144936;23.5;21.99;-0.58221594;1.498284133;1.719993402;7.254
NWA;Noz2;4.498;0.057081395;5.5;21.99;-0.58221594;1.498284133;1.607139625;7.254
NWA;Noz3;9.498;0.082166036;13;21.99;-0.58221594;1.498284133;1.727551384;7.254
NWA;Noz4;5;2.118099114;27;21.99;-0.58221594;1.498284133;0;7.254
NWA;Noz5;3;0.023336266;7.5;21.99;-0.58221594;1.498284133;0;7.254
NWA;Noz6;4;0.012421015;11;21.99;-0.58221594;1.498284133;0.171446608;7.254
NWA;Noz7;5;0.050968503;13;21.99;-0.58221594;1.498284133;0.642625986;7.254
NWA;Noz8;5;0.017786611;7;21.99;-0.58221594;1.498284133;0.114930676;7.254
NWA;Noz9;7.994;0.18370802;8;21.99;-0.58221594;1.498284133;2.534691085;7.254
NWA;Noz10;7;1.334080504;18;21.99;-0.58221594;1.498284133;0.502748859;7.254
NWA;Noz11;8;0.499639757;22;21.99;-0.58221594;1.498284133;0.976373054;7.254
NWA;Noz12;5;0.041325565;12;21.99;-0.58221594;1.498284133;0.099435028;7.254
NWA;Noz13;4.993;0.017091809;7;21.99;-0.58221594;1.498284133;0.451030719;7.254
NWA;Noz14;3;0.00615768;17;21.99;-0.58221594;1.498284133;0.48548788;7.254
NWA;Noz15;5.969;0.196001362;28;21.99;-0.58221594;1.498284133;1.254257702;7.254
NWA;Noz16;4.9;0.000825487;8;21.99;-0.58221594;1.498284133;1.342410349;7.254
NWA;Noz17;4;0.012783779;9;21.99;-0.58221594;1.498284133;0.617315901;7.254
NWA;Noz18;5.967;0.012046202;13;21.99;-0.58221594;1.498284133;0.706547188;7.254
NWA;Noz19;6.49;0.025433386;12;21.99;-0.58221594;1.498284133;1.578067101;7.254
NWA;Noz20;4.9;0.18723873;21;21.99;-0.58221594;1.498284133;1.201514196;7.254
NWA;Noz21;4.9;0.013216564;9;21.99;-0.58221594;1.498284133;1.120198946;7.254
NWA;Noz22;3;0.013086755;19;21.99;-0.58221594;1.498284133;0.479372485;7.254
NWA;Noz23;2;0.003904402;16;21.99;-0.58221594;1.498284133;0.1;7.254
NWA;Noz24;3;0.016231222;24;21.99;-0.58221594;1.498284133;0.140705294;7.254
MAL;Mal1;8.248;3.886171827;8;27.014;-0.811548907;0.244259046;1.758183939;2.436
MAL;Mal2;4;1.414873643;8;27.014;-0.811548907;0.244259046;0;2.436
MAL;Mal3;16.482;14.37388743;16;27.014;-0.811548907;0.244259046;6.28455132;2.436
MAL;Mal4;3;2.125938893;6;27.014;-0.811548907;0.244259046;0;2.436
MAL;Mal5;11.417;0.7064998;5;27.014;-0.811548907;0.244259046;4.971075066;2.436
MAL;Mal6;6.969;1.77916063;8;27.014;-0.811548907;0.244259046;2.041455192;2.436
MAL;Mal7;6.975;1.752292635;11;27.014;-0.811548907;0.244259046;0.907723998;2.436
MAL;Mal8;8.661;1.524889195;7;27.014;-0.811548907;0.244259046;2.914458697;2.436
MAL;Mal9;11.957;5.410478826;6;27.014;-0.811548907;0.244259046;3.36689497;2.436
MAL;Mal10;4;8.911017163;4;27.014;-0.811548907;0.244259046;0.715716582;2.436
MAL;Mal11;18.904;3.11841615;13;27.014;-0.811548907;0.244259046;8.888125924;2.436
MAL;Mal12;5;10.73957191;7;27.014;-0.811548907;0.244259046;0.492365964;2.436
MAL;Mal13;12.949;4.501273775;5.5;27.014;-0.811548907;0.244259046;3.358651361;2.436
MAL;Mal14;10.969;1.037595216;14;27.014;-0.811548907;0.244259046;2.960916634;2.436
MAL;Mal15;3;3.796807882;6;27.014;-0.811548907;0.244259046;0;2.436
MAL;Mal16;9.05;0.077213657;11;27.014;-0.811548907;0.244259046;4.732869005;2.436
MAL;Mal17;7;1.591828682;35;27.014;-0.811548907;0.244259046;0.676359514;2.436
MAL;Mal18;9.998;16.09585416;2;27.014;-0.811548907;0.244259046;1.26706847;2.436
MAL;Mal19;9.996;2.760976131;21;27.014;-0.811548907;0.244259046;1.256575248;2.436
MAL;Mal20;15.933;0.998781879;35;27.014;-0.811548907;0.244259046;5.980778673;2.436
MAL;Mal21;4;5.194589226;6;27.014;-0.811548907;0.244259046;0.111753697;2.436
MAL;Mal22;6.975;2.477702177;10;27.014;-0.811548907;0.244259046;1.388479396;2.436
MAL;Mal23;10.988;2.379575432;28;27.014;-0.811548907;0.244259046;2.430216645;2.436
MAL;Mal24;6;4.75282941;9;27.014;-0.811548907;0.244259046;0.73544953;2.436
MAL;Mal25;10;9.826728656;43;27.014;-0.811548907;0.244259046;0.680024522;2.436
MAL;Mal26;8;3.837715461;45;27.014;-0.811548907;0.244259046;0.242154955;2.436
MAL;Mal27;8;4.561690019;23;27.014;-0.811548907;0.244259046;0.493877879;2.436
MAL;Mal28;3;1.633156328;6;27.014;-0.811548907;0.244259046;0;2.436
MAL;Mal29;12.967;13.74450555;21;27.014;-0.811548907;0.244259046;3.633305078;2.436
MAL;Mal30;3;1.146467358;5;27.014;-0.811548907;0.244259046;0.219042914;2.436
